,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,docs_url,doc_url,updated_github_id,trending
0,pgjdbc,pgjdbc/pgjdbc,"['server', 'postgresql']",db,https://github.com/pgjdbc/pgjdbc,https://github.com/pgjdbc/pgjdbc,BSD-2-Clause,2012-02-06 19:30:35,2025-11-19 08:35:26,2025-11-19 08:35:25,3955.0,63.0,880.0,80.0,2376.0,420.0,958.0,1655.0,2025-09-18 21:16:12,REL42.7.8,19863.0,601.0,62.0,Postgresql JDBC Driver.,1099331.0,1099331.0,345.0,35,True,1.0,,,,
1,OpenTelemetry,open-telemetry/opentelemetry-java-instrumentation,['server'],monitoring,https://github.com/open-telemetry/opentelemetry-java-instrumentation,https://github.com/open-telemetry/opentelemetry-java-instrumentation,Apache-2.0,2019-09-25 20:19:14,2025-11-20 15:54:26,2025-11-20 15:54:26,12940.0,607.0,1002.0,52.0,10146.0,234.0,3902.0,2389.0,2025-11-20 04:06:49,2.22.0,19755485.0,334838.0,100.0,OpenTelemetry auto-instrumentation and instrumentation libraries for Java.,,,369.0,33,True,1.0,,,,
2,Exposed,JetBrains/Exposed,['server'],orm,https://github.com/JetBrains/Exposed,https://github.com/JetBrains/Exposed,Apache-2.0,2013-07-30 12:55:27,2025-11-20 16:51:17,2025-11-20 16:51:17,2984.0,50.0,745.0,129.0,1339.0,148.0,1171.0,9067.0,2025-11-06 20:11:15,1.0.0-rc-3,,,62.0,Kotlin SQL Framework.,21.0,21.0,222.0,29,True,1.0,,,,
3,sqlite-jdbc,xerial/sqlite-jdbc,"['server', 'sqlite']",db,https://github.com/xerial/sqlite-jdbc,https://github.com/xerial/sqlite-jdbc,Apache-2.0,2014-08-06 14:01:00,2025-11-19 02:27:47,2025-11-19 02:27:45,1829.0,31.0,601.0,101.0,610.0,56.0,597.0,3146.0,2025-11-05 02:32:50,3.51.0.0,1073415.0,17313.0,47.0,SQLite JDBC Driver.,,,156.0,27,True,2.0,,,,
4,Samples for Ktor,ktorio/ktor-samples,"['server', 'client']",examples,https://github.com/ktorio/ktor-samples,https://github.com/ktorio/ktor-samples,Apache-2.0,2018-01-23 13:25:12,2025-11-20 16:47:15,2025-11-20 16:45:17,612.0,85.0,353.0,35.0,278.0,2.0,36.0,1585.0,,,,,,Sample projects for Ktor.,,,48.0,19,True,1.0,,,,
5,mariadb-connector-j,mariadb-corporation/mariadb-connector-j,"['server', 'mariadb']",db,https://github.com/mariadb-corporation/mariadb-connector-j,https://github.com/mariadb-corporation/mariadb-connector-j,LGPL-2.1,2015-01-30 13:12:38,2025-11-12 14:34:21,2025-09-19 12:20:39,3685.0,26.0,228.0,67.0,203.0,,,352.0,2025-09-11 15:02:40,3.5.6,,,100.0,MariaDB Connector/J is used to connect applications developed in Java to MariaDB and MySQL databases. MariaDB..,,,105.0,19,False,3.0,,,,
6,ktor-openapi-tools,SMILEY4/ktor-openapi-tools,['server'],openapi,https://github.com/SMILEY4/ktor-openapi-tools,https://github.com/SMILEY4/ktor-openapi-tools,Apache-2.0,2022-08-20 11:29:42,2025-11-10 12:52:01,2025-11-10 12:49:48,646.0,19.0,39.0,3.0,40.0,1.0,182.0,261.0,2025-11-10 12:48:48,5.4.0,,,80.0,A collection of libraries to simplify API documentation and exploration for Ktor applications. Generates OpenAPI..,,,24.0,19,True,1.0,,,,
7,Documentation,ktorio/ktor-documentation,['server'],docs,https://github.com/ktorio/ktor-documentation,https://github.com/ktorio/ktor-documentation,Apache-2.0,2020-07-10 07:50:16,2025-11-12 14:17:21,2025-11-12 14:17:16,2228.0,68.0,349.0,13.0,716.0,,,513.0,,,,,,Documentation for the Ktor framework.,,,116.0,17,True,1.0,https://ktor.io/docs/welcome.html,,,
8,mysql-connector-j,mysql/mysql-connector-j,"['server', 'msql']",db,https://github.com/mysql/mysql-connector-j,https://github.com/mysql/mysql-connector-j,,2015-03-23 15:45:23,2025-10-22 12:25:27,2025-09-18 21:42:17,3210.0,14.0,575.0,77.0,118.0,,,984.0,,,,,,MySQL Connector/J.,,,25.0,15,False,3.0,,,,
9,KGraphQL,aPureBase/KGraphQL,['server'],graphqlapi,https://github.com/aPureBase/KGraphQL,https://github.com/aPureBase/KGraphQL,MIT,2019-04-29 10:59:16,2025-09-26 08:16:38,2025-09-26 08:16:34,528.0,2.0,60.0,9.0,87.0,53.0,80.0,308.0,2023-01-27 10:09:55,0.19.0,,,63.0,Pure Kotlin GraphQL implementation.,,,42.0,15,True,1.0,,,,
10,cohort,sksamuel/cohort,['server'],monitoring,https://github.com/sksamuel/cohort,https://github.com/sksamuel/cohort,Apache-2.0,2021-02-27 00:02:14,2025-08-27 02:27:55,2025-08-27 02:27:55,579.0,22.0,12.0,5.0,40.0,1.0,48.0,177.0,2025-08-27 02:27:20,2.8.0,,,41.0,"Ktor/Vertx spring-actuator style library - healthchecks, logging, database.",,,11.0,15,True,3.0,,,,
11,Containerization,ktorio/ktor-build-plugins,['server'],containerization,https://github.com/ktorio/ktor-build-plugins,https://github.com/ktorio/ktor-build-plugins,Apache-2.0,2022-04-07 07:14:12,2025-11-20 15:35:49,2025-11-05 12:50:07,254.0,49.0,17.0,9.0,245.0,2.0,5.0,75.0,2025-09-15 19:58:54,3.3.0,,,11.0,Ktor Plugins for Build Systems.,,,16.0,15,False,1.0,,,,
12,kotlin-asyncapi,asyncapi/kotlin-asyncapi,['server'],asyncapi,https://github.com/asyncapi/kotlin-asyncapi,https://github.com/asyncapi/kotlin-asyncapi,Apache-2.0,2022-07-03 06:20:51,2025-11-17 17:59:35,2025-11-17 17:53:59,213.0,56.0,3.0,3.0,203.0,,5.0,41.0,2025-10-18 11:21:08,3.1.3,,,15.0,Simplify event-driven API documentation for Kotlin microservices.,1.0,1.0,5.0,15,False,1.0,,,,
13,Ktor Plugin Registry,ktorio/ktor-plugin-registry,['server'],pt,https://github.com/ktorio/ktor-plugin-registry,https://github.com/ktorio/ktor-plugin-registry,Apache-2.0,2023-12-09 12:22:06,2025-11-18 23:50:13,2025-11-11 08:03:41,277.0,13.0,28.0,7.0,213.0,3.0,19.0,84.0,,,,,,Maintains a repository of all Ktor plugins.,,,22.0,13,False,1.0,,https://github.com/ktorio/ktor-plugin-registry/blob/main/README.md,,
14,Ktor CLI,ktorio/ktor-cli,['server'],pt,https://github.com/ktorio/ktor-cli,https://start.ktor.io,Apache-2.0,2021-12-06 10:25:04,2025-04-02 12:26:42,2025-02-24 15:17:59,41.0,,11.0,12.0,41.0,1.0,4.0,129.0,2025-04-02 12:42:14,0.5.0,4765.0,116.0,10.0,Command-line tool for creating Ktor projects.,,,4.0,11,True,3.0,,https://ktor.io/docs/server-create-a-new-project.html#create_project_with_ktor_cli_tool,,
15,Rate Limiting,Flaxoos/extra-ktor-plugins/tree/main/ktor-server-rate-limiting,['server'],rate-limiting,https://github.com/Flaxoos/extra-ktor-plugins,https://github.com/Flaxoos/extra-ktor-plugins,,2023-08-05 13:32:21,2025-10-27 02:13:43,2025-10-18 18:15:08,285.0,35.0,8.0,2.0,92.0,9.0,12.0,93.0,2025-05-19 13:13:34,2.2.1,,,5.0,"Feature-rich, efficient, and highly customizable plugins for your Multiplatform Ktor Server or Client.",,,,10,False,1.0,,https://github.com/Flaxoos/extra-ktor-plugins/blob/main/ktor-server-rate-limiting/README.md,Flaxoos/extra-ktor-plugins,
16,Zed Kotlin Language Support,zed-extensions/kotlin,['server'],ide-integration,https://github.com/zed-extensions/kotlin,https://zed.dev/extensions/kotlin,MIT,2024-02-27 10:35:56,2025-11-10 13:10:33,2025-11-10 13:10:32,34.0,9.0,16.0,5.0,26.0,13.0,15.0,60.0,,,,,,Kotlin support.,,,15.0,9,False,1.0,,https://github.com/zed-extensions/kotlin/blob/main/README.md,,
17,ktor-simple-cache,Scogun/ktor-simple-cache,['server'],cache,https://github.com/Scogun/ktor-simple-cache,https://github.com/Scogun/ktor-simple-cache,Apache-2.0,2023-08-19 08:53:27,2025-06-14 09:03:58,2025-06-14 09:03:36,53.0,,3.0,1.0,19.0,1.0,5.0,37.0,2025-06-14 09:03:58,0.55.3,,,18.0,Ktor plugin for output caching.,,,2.0,9,False,1.0,,,,1.0
18,firebase-auth-provider,krizzu/firebase-auth-provider,['server'],authentication,https://github.com/krizzu/firebase-auth-provider,https://github.com/krizzu/firebase-auth-provider,Apache-2.0,2023-08-07 08:24:50,2025-07-23 13:18:06,2025-07-23 13:17:18,34.0,,5.0,1.0,7.0,2.0,5.0,11.0,2025-07-23 13:23:58,1.6.0,,,11.0,A Ktor authentication provider for Firebase Auth.,,,5.0,9,False,1.0,,,,
19,apollo-kotlin-ktor-support,apollographql/apollo-kotlin-ktor-support,['server'],graphqlapi,https://github.com/apollographql/apollo-kotlin-ktor-support,https://github.com/apollographql/apollo-kotlin-ktor-support,MIT,2024-06-21 17:52:07,2025-11-08 13:46:06,2025-10-18 13:05:53,27.0,1.0,4.0,5.0,23.0,2.0,,9.0,2025-01-15 18:43:28,0.1.1,,,4.0,apollo-kotlin-ktor-support.,,,5.0,9,False,3.0,,,,1.0
20,ktor-server-rabbitmq,DamirDenis-Tudor/ktor-server-rabbitmq,['server'],rabbitmq,https://github.com/DamirDenis-Tudor/ktor-server-rabbitmq,https://github.com/DamirDenis-Tudor/ktor-server-rabbitmq,Apache-2.0,2024-12-11 12:27:53,2025-11-13 19:03:22,2025-11-13 19:03:21,126.0,9.0,1.0,2.0,33.0,1.0,4.0,13.0,2025-05-30 06:56:41,1.3.6,,,23.0,Official RabbitMQ plugin for Ktor framework.,,,3.0,8,False,1.0,,,,1.0
21,Ktor Chat,ktorio/ktor-chat,"['server', 'client']",examples,https://github.com/ktorio/ktor-chat,https://github.com/ktorio/ktor-chat,Apache-2.0,2024-08-06 09:14:28,2025-11-05 10:36:00,2025-11-05 09:35:33,35.0,4.0,3.0,2.0,11.0,1.0,2.0,39.0,,,,,,"Example for a large, full-stack application using the latest and greatest.",,,3.0,7,False,3.0,,,,
22,API docs,ktorio/api.ktor.io,"['server', 'client']",docs,https://github.com/ktorio/api.ktor.io,https://api.ktor.io/3.2.x/,,2018-04-26 11:13:52,2025-11-14 17:43:51,2025-11-14 17:38:21,76.0,13.0,4.0,6.0,15.0,,5.0,4.0,,,,,,API docs for ktor.io website.,,,6.0,7,False,3.0,,,,1.0
23,KASTLE,ktorio/kastle,['server'],pt,https://github.com/ktorio/kastle,https://github.com/ktorio/kastle,,2025-01-12 16:03:06,2025-11-20 13:09:33,2025-11-15 09:58:58,133.0,73.0,,3.0,42.0,3.0,3.0,3.0,,,,,,Kotlin application source templating / layout engine.,,,2.0,6,False,3.0,https://github.com/ktorio/kastle?tab=readme-ov-file#documentation,,,2.0
24,sentry-ktor,AugustArchive/sentry-ktor,['server'],monitoring,https://github.com/AugustArchive/sentry-ktor,https://github.com/AugustArchive/sentry-ktor,MIT,2022-03-20 16:45:32,2022-06-26 08:16:13,2022-03-21 00:20:17,5.0,,,1.0,1.0,,,4.0,2022-03-20 18:14:29,0.0.1,,,1.0,Pluggable Ktor plugin to implement Sentry for error handling and request contexts.,,,2.0,4,False,3.0,,,,
25,Ktor Demo Application,ktorio/ktor-answers,['server'],examples,https://github.com/ktorio/ktor-answers,https://github.com/ktorio/ktor-answers,,2023-04-28 12:43:31,2025-11-10 23:36:48,2023-07-27 10:18:11,68.0,,3.0,1.0,53.0,4.0,,3.0,,,,,,,,,6.0,4,False,3.0,,,,
26,JetBrains IntelliJ IDEA,,"['server', 'client']",ide,,https://www.jetbrains.com/idea/,,,,,,,,,,,,,,,,,,,,,,0,False,,,https://www.jetbrains.com/help/idea/ktor.html,,
27,JetBrains IntelliJ IDEA Ktor Plugin,,['server'],ide-integration,,https://plugins.jetbrains.com/plugin/16008-ktor,,,,,,,,,,,,,,,,,,,,,,0,False,,,,,
